"동별(1)",동별(2),동별(3),2025,2025,2025,2025,2025,2025,2025,2025,2025
"동별(1)",동별(2),동별(3),장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별
"동별(1)",동별(2),동별(3),소계,소계,소계,심한 장애,심한 장애,심한 장애,심하지 않은 장애,심하지 않은 장애,심하지 않은 장애
"동별(1)",동별(2),동별(3),계,남자,여자,계,남자,여자,계,남자,여자
"합계",금천구,시흥1동,1826,1077,749,559,352,207,1267,725,542
"합계",금천구,시흥2동,1191,670,521,372,232,140,819,438,381
"합계",금천구,시흥3동,530,317,213,162,95,67,368,222,146
"합계",금천구,시흥4동,1198,702,496,346,194,152,852,508,344
"합계",금천구,시흥5동,1317,757,560,416,253,163,901,504,397
"합계",금천구,기타,-,-,-,-,-,-,-,-,-
"합계",노원구,소계,25361,13958,11403,10481,6059,4422,14880,7899,6981
"합계",노원구,월계1동,912,516,396,308,187,121,604,329,275
"합계",노원구,월계2동,2082,1167,915,973,572,401,1109,595,514
"합계",노원구,월계3동,1810,986,824,783,456,327,1027,530,497
"합계",노원구,공릉1동,2077,1143,934,850,489,361,1227,654,573
"합계",노원구,공릉2동,1294,732,562,447,260,187,847,472,375
"합계",노원구,하계1동,1893,996,897,1006,561,445,887,435,452
"합계",노원구,하계2동,734,388,346,276,157,119,458,231,227
"합계",노원구,중계본동,691,382,309,293,159,134,398,223,175
"합계",노원구,중계1동,699,394,305,260,152,108,439,242,197
"합계",노원구,중계4동,1386,747,639,606,347,259,780,400,380
"합계",노원구,중계2.3동,2993,1603,1390,1512,876,636,1481,727,754
"합계",노원구,상계1동,1917,1092,825,729,425,304,1188,667,521
"합계",노원구,상계2동,883,509,374,329,198,131,554,311,243
"합계",노원구,상계3.4동,1634,907,727,539,315,224,1095,592,503
"합계",노원구,상계5동,1272,724,548,422,254,168,850,470,380
"합계",노원구,상계6.7동,1095,577,518,428,230,198,667,347,320
"합계",노원구,상계8동,725,381,344,252,136,116,473,245,228
"합계",노원구,상계9동,720,407,313,262,156,106,458,251,207
"합계",노원구,상계10동,540,306,234,205,128,77,335,178,157
"합계",노원구,기타,4,1,3,1,1,-,3,-,3
"합계",도봉구,소계,15120,8744,6376,5142,3084,2058,9978,5660,4318
"합계",도봉구,창1동,957,521,436,320,190,130,637,331,306
"합계",도봉구,창2동,1337,762,575,415,252,163,922,510,412
"합계",도봉구,창3동,769,454,315,276,163,113,493,291,202
"합계",도봉구,창4동,922,523,399,349,205,144,573,318,255
"합계",도봉구,창5동,988,591,397,329,218,111,659,373,286
"합계",도봉구,도봉1동,1477,866,611,534,319,215,943,547,396
"합계",도봉구,도봉2동,1425,832,593,464,271,193,961,561,400
"합계",도봉구,쌍문1동,1139,643,496,350,200,150,789,443,346
"합계",도봉구,쌍문2동,895,530,365,310,188,122,585,342,243
"합계",도봉구,쌍문3동,813,450,363,262,163,99,551,287,264
"합계",도봉구,쌍문4동,647,347,300,210,120,90,437,227,210
"합계",도봉구,방학1동,1481,886,595,510,323,187,971,563,408
"합계",도봉구,방학2동,1241,726,515,455,257,198,786,469,317
"합계",도봉구,방학3동,1028,612,416,357,214,143,671,398,273
"합계",도봉구,기타,1,1,-,1,1,-,-,-,-
"합계",동대문구,소계,15039,8655,6384,4814,2926,1888,10225,5729,4496
"합계",동대문구,신설동,594,357,237,172,112,60,422,245,177
"합계",동대문구,용두동,1016,579,437,297,177,120,719,402,317
"합계",동대문구,제기동,1192,666,526,349,212,137,843,454,389
"합계",동대문구,전농1동,1485,867,618,465,278,187,1020,589,431
"합계",동대문구,전농2동,802,448,354,283,165,118,519,283,236
"합계",동대문구,답십리1동,1010,573,437,310,184,126,700,389,311
"합계",동대문구,답십리2동,1373,774,599,442,252,190,931,522,409
"합계",동대문구,장안1동,1662,991,671,561,351,210,1101,640,461
"합계",동대문구,장안2동,1353,796,557,475,297,178,878,499,379
"합계",동대문구,청량리동,1176,651,525,353,218,135,823,433,390
"합계",동대문구,회기동,303,157,146,105,56,49,198,101,97
"합계",동대문구,휘경1동,543,325,218,181,110,71,362,215,147
"합계",동대문구,휘경2동,858,504,354,280,176,104,578,328,250
"합계",동대문구,이문1동,756,445,311,246,152,94,510,293,217
"합계",동대문구,이문2동,916,522,394,295,186,109,621,336,285
"합계",동대문구,기타,-,-,-,-,-,-,-,-,-
"합계",동작구,소계,13911,7960,5951,4734,2823,1911,9177,5137,4040
"합계",동작구,노량진1동,1223,690,533,427,254,173,796,436,360
"합계",동작구,노량진2동,398,238,160,134,81,53,264,157,107
"합계",동작구,상도1동,1453,823,630,515,286,229,938,537,401
"합계",동작구,상도2동,898,510,388,322,195,127,576,315,261
"합계",동작구,상도3동,1125,618,507,347,193,154,778,425,353
"합계",동작구,상도4동,1331,798,533,490,309,181,841,489,352
"합계",동작구,흑석동,964,544,420,298,176,122,666,368,298
"합계",동작구,사당1동,737,426,311,220,137,83,517,289,228
"합계",동작구,사당2동,903,512,391,276,167,109,627,345,282
"합계",동작구,사당3동,771,473,298,248,164,84,523,309,214
"합계",동작구,사당4동,527,298,229,142,91,51,385,207,178
"합계",동작구,사당5동,512,288,224,168,100,68,344,188,156
"합계",동작구,대방동,1440,803,637,576,342,234,864,461,403
"합계",동작구,신대방1동,847,490,357,284,159,125,563,331,232
"합계",동작구,신대방2동,782,449,333,287,169,118,495,280,215
"합계",동작구,기타,-,-,-,-,-,-,-,-,-
"합계",마포구,소계,12178,6857,5321,4436,2603,1833,7742,4254,3488
"합계",마포구,아현동,721,419,302,259,167,92,462,252,210
"합계",마포구,공덕동,1349,777,572,447,270,177,902,507,395
"합계",마포구,도화동,674,371,303,245,147,98,429,224,205
"합계",마포구,용강동,597,340,257,196,111,85,401,229,172
"합계",마포구,대흥동,416,229,187,135,84,51,281,145,136
"합계",마포구,염리동,517,267,250,173,99,74,344,168,176
"합계",마포구,신수동,657,391,266,214,126,88,443,265,178
"합계",마포구,서강동,635,348,287,207,112,95,428,236,192
"합계",마포구,서교동,616,372,244,198,127,71,418,245,173
"합계",마포구,합정동,515,291,224,165,91,74,350,200,150
"합계",마포구,망원1동,705,415,290,251,157,94,454,258,196
"합계",마포구,망원2동,716,424,292,242,147,95,474,277,197
