addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
"서울특별시 용산구 독서당로 124, 3층 (한남동)",31,의원,0,0,0,0,0,0,0,0,1,한남동,20230224,,0,0,0,1,0,4420,110014,용산구,110000,서울,02-749-5005,127.0127721,37.5370074,구도피부과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz
"서울특별시 구로구 구로동로 78, 시몬빌딩 3,4층 (구로동)",31,의원,0,0,0,0,0,0,0,0,2,구로동,20200320,,0,0,0,2,0,8320,110005,구로구,110000,서울,02-855-9566,126.8858836,37.4858069,구로나르샤정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
"서울특별시 관악구 시흥대로 578, 4층 (신림동, 광안프라자)",31,의원,0,0,0,0,0,0,0,0,2,신림동,20150113,,0,0,0,2,0,8700,110004,관악구,110000,서울,02-853-9636,126.9032654,37.4843215,구로디지털바른본의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQwMyQyNjE0ODEjNjEjJDEjJDgjJDgz
"서울특별시 관악구 조원로 20, 2층 (신림동)",31,의원,0,0,0,0,0,0,0,0,2,신림동,20230126,,0,0,0,2,0,8769,110004,관악구,110000,서울,02-869-1020,126.9045681,37.4832771,구로디지털정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz
"서울특별시 구로구 구로중앙로 68, 4층 (구로동, 신안타워)",31,의원,0,0,0,0,0,0,0,0,3,구로동,20221020,,0,0,0,3,0,8301,110005,구로구,110000,서울,02-839-5097,126.8887946,37.4958015,구로리더스정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz
"서울특별시 구로구 고척로 140, 제일빌딩 6,7층 (고척동)",31,의원,0,0,0,0,0,0,0,0,1,고척동,20230727,,0,0,0,1,0,8235,110005,구로구,110000,서울,02-6953-0119,126.8496109,37.5023844,구로바로본365의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz
"서울특별시 구로구 디지털로31길 62, 아티스포럼 207~214호 (구로동)",31,의원,0,0,0,0,0,0,0,0,3,구로동,20240807,,1,0,0,2,0,8376,110005,구로구,110000,서울,02-830-7580,126.8924571,37.4863856,구로바른재활의학과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNTEjJDEjJDIjJDgz
"서울특별시 구로구 구로동로26길 37, 4층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20050225,,0,0,0,1,0,8311,110005,구로구,110000,서울,02-851-7677,126.8862271,37.4902711,구로밝은빛안과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQwMyQzNjEyMjIjNjEjJDEjJDAjJDgz
"서울특별시 구로구 경인로 204, 501,601호 (오류동)",31,의원,0,0,0,0,0,0,0,0,1,오류동,20220418,,0,0,0,1,0,8271,110005,구로구,110000,서울,02-2683-8275,126.8438931,37.4956809,구로삼성정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNjEjJDEjJDAjJDgz
"서울특별시 구로구 시흥대로 561, 동해빌딩 2층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20230127,,0,0,0,1,0,8391,110005,구로구,110000,서울,02-3288-3000,126.9012487,37.4832647,구로삼성탑정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjEwMDIjODEjJDEjJDIjJDgz
