요양기관명,시도명,시군구명,요양기관종별,표시과목,주소,중환자실 병상수 소계,성인 중환자실 병상수,소아 중환자실 병상수,신생아 중환자실 병상수,격리병실 병상수
의료법인 한성재단 S서울병원,경기도,수원시 영통구,병원,일반의,경기도 수원시 영통구 중부대로246번길 14 (매탄동),0,0,0,0,2
수원요양병원,경기도,수원시 영통구,요양병원,해당사항없음,경기도 수원시 영통구 매영로 229 (원천동),0,0,0,0,49
학교법인 대우학원 아주대학교요양병원,경기도,수원시 영통구,요양병원,해당사항없음,"경기도 수원시 영통구 월드컵로150번길 21, 아주대학교요양병원 (원천동)",0,0,0,0,1
연세모아요양병원,경기도,수원시 영통구,요양병원,해당사항없음,"경기도 수원시 영통구 봉영로1759번길 41, 연세모아병원 (영통동)",0,0,0,0,1
순천의료재단 성남정병원,경기도,성남시 수정구,종합병원,해당사항없음,"경기도 성남시 수정구 수정로 76, 지하3~9층 (수진동)",12,12,0,0,0
성남시의료원,경기도,성남시 수정구,종합병원,해당사항없음,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",30,30,0,0,28
성남중앙병원,경기도,성남시 중원구,종합병원,해당사항없음,경기도 성남시 중원구 산성대로476번길 12 (금광동),0,0,0,0,5
라온힐요양병원,경기도,성남시 중원구,요양병원,해당사항없음,"경기도 성남시 중원구 양현로405번길 13, 중일아인스빌딩 지하3층,2~10층 (여수동)",0,0,0,0,8
분당서울대학교병원,경기도,성남시 분당구,상급종합병원,해당사항없음,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",135,79,6,50,19
차의과학대학교분당차병원,경기도,성남시 분당구,종합병원,해당사항없음,경기도 성남시 분당구 야탑로 59 (야탑동),89,54,0,35,8
대진의료재단 분당제생병원,경기도,성남시 분당구,종합병원,해당사항없음,경기도 성남시 분당구 서현로180번길 20 (서현동),39,36,0,3,2
국군수도병원,경기도,성남시 분당구,종합병원,해당사항없음,경기도 성남시 분당구 새마을로177번길 81 (율동),34,34,0,0,8
보바스기념병원,경기도,성남시 분당구,요양병원,해당사항없음,"경기도 성남시 분당구 대왕판교로 155-7 (금곡동, 보바스기념병원)",0,0,0,0,1
분당센트럴요양병원,경기도,성남시 분당구,요양병원,해당사항없음,"경기도 성남시 분당구 양현로94번길 17, 지1층~5층 (이매동)",0,0,0,0,6
경기도의료원의정부병원,경기도,의정부시,종합병원,해당사항없음,경기도 의정부시 흥선로 142 (의정부동),6,6,0,0,5
가톨릭대학교의정부성모병원,경기도,의정부시,종합병원,해당사항없음,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",91,76,0,15,2
의료법인 영동의료재단 의정부백병원,경기도,의정부시,종합병원,해당사항없음,경기도 의정부시 금신로 322 (신곡동),9,9,0,0,0
추병원,경기도,의정부시,종합병원,해당사항없음,경기도 의정부시 평화로 650 (의정부동),15,15,0,0,0
학교법인 을지학원 의정부을지대학교병원,경기도,의정부시,종합병원,해당사항없음,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",81,76,0,5,6
의료법인성베드로병원,경기도,의정부시,병원,일반의,경기도 의정부시 평화로 622 (의정부동),0,0,0,0,10
인산의료재단 메트로병원,경기도,안양시 만안구,종합병원,해당사항없음,"경기도 안양시 만안구 명학로33번길 8 (안양동, 메트로병원)",10,10,0,0,2
효산의료재단 안양샘병원,경기도,안양시 만안구,종합병원,해당사항없음,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",19,19,0,0,3
한림대학교성심병원,경기도,안양시 동안구,상급종합병원,해당사항없음,경기도 안양시 동안구 관평로170번길 22 (평촌동),104,92,0,12,14
순천향대학교부속부천병원,경기도,부천시 원미구,상급종합병원,해당사항없음,"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",108,84,0,24,25
가톨릭대학교부천성모병원,경기도,부천시 원미구,종합병원,해당사항없음,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",60,50,0,10,4
의료법인대인의료재단 다니엘종합병원,경기도,부천시 원미구,종합병원,해당사항없음,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",31,31,0,0,0
뉴대성병원,경기도,부천시 원미구,병원,일반의,"경기도 부천시 원미구 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",8,8,0,0,0
해올요양병원,경기도,부천시 원미구,요양병원,해당사항없음,"경기도 부천시 원미구 신흥로 350, SB타워 Ⅱ 지하2~7층 (도당동)",0,0,0,0,1
부천세종병원,경기도,부천시 소사구,종합병원,해당사항없음,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",24,24,0,0,4
가은병원,경기도,부천시 소사구,요양병원,해당사항없음,"경기도 부천시 소사구 마니로24번길 43-17, 가은병원(본관, 항암치료센터) (송내동)",0,0,0,0,1
의료법인운천의료재단메디홀스요양병원,경기도,부천시 소사구,요양병원,해당사항없음,"경기도 부천시 소사구 경인로110번길 18, 메디홀스병원 (송내동)",0,0,0,0,1
부천우리병원,경기도,부천시 오정구,종합병원,해당사항없음,경기도 부천시 오정구 소사로 726 (원종동),8,8,0,0,0
보성요양병원,경기도,부천시 오정구,요양병원,해당사항없음,"경기도 부천시 오정구 소사로 742, 세라메디컬센터 지하1층일부,2층,3층일부,4~6층 (원종동)",0,0,0,0,1
광명성애병원,경기도,광명시,종합병원,해당사항없음,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",18,14,0,4,0
중앙대학교광명병원,경기도,광명시,종합병원,해당사항없음,경기도 광명시 덕안로 110(일직동),69,43,0,26,2
광명효요양병원,경기도,광명시,요양병원,해당사항없음,"경기도 광명시 오리로 352 (소하동, 이화프라자)",0,0,0,0,1
의료법인 박애의료재단 박애병원,경기도,평택시,종합병원,해당사항없음,경기도 평택시 평택2로20번길 3 (평택동),10,10,0,0,0
의료법인백송의료재단 굿모닝병원,경기도,평택시,종합병원,해당사항없음,경기도 평택시 중앙로 338 (합정동),30,30,0,0,0
의료법인 양진의료재단 평택성모병원,경기도,평택시,종합병원,해당사항없음,경기도 평택시 평택로 284 (세교동),37,37,0,0,0
의료법인 갈렌의료재단 박병원,경기도,평택시,종합병원,해당사항없음,경기도 평택시 송탄로 33 (장당동),10,10,0,0,10
의료법인 혜담의료재단 평택이편안요양병원,경기도,평택시,요양병원,해당사항없음,경기도 평택시 안중읍 서동대로 1831-16,0,0,0,0,12
근로복지공단안산병원,경기도,안산시 상록구,종합병원,해당사항없음,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",19,19,0,0,2
의료법인칠석의료재단사랑의병원,경기도,안산시 상록구,종합병원,해당사항없음,"경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)",14,14,0,0,0
안산조은요양병원,경기도,안산시 상록구,요양병원,해당사항없음,"경기도 안산시 상록구 광덕1로 361, 조은재활요양병원 (이동)",0,0,0,0,23
고려대학교의과대학부속안산병원,경기도,안산시 단원구,상급종합병원,해당사항없음,경기도 안산시 단원구 적금로 123 (고잔동),87,62,0,25,14
대아의료재단한도병원,경기도,안산시 단원구,종합병원,해당사항없음,경기도 안산시 단원구 선부광장로 103 (선부동),30,30,0,0,0
의료법인 플러스의료재단 단원병원,경기도,안산시 단원구,종합병원,해당사항없음,경기도 안산시 단원구 원포공원1로 20 (초지동),28,28,0,0,7
의료법인더존의료재단 경희요양병원,경기도,안산시 단원구,요양병원,해당사항없음,"경기도 안산시 단원구 광덕대로 162, 광덕대로 154 (고잔동)",0,0,0,0,1
안산나래요양병원,경기도,안산시 단원구,요양병원,해당사항없음,"경기도 안산시 단원구 선부광장1로 118, 삼아빌딩 B101, 201, 301, 401, 501호 (선부동)",0,0,0,0,2
안산중앙요양병원,경기도,안산시 단원구,요양병원,해당사항없음,"경기도 안산시 단원구 고잔로 134, 안산중앙요양병원 (고잔동)",0,0,0,0,1
의료법인명지의료재단명지병원,경기도,고양시 덕양구,종합병원,해당사항없음,경기도 고양시 덕양구 화수로14번길 55 (화정동),61,58,0,3,10
의료법인자인의료재단(더자인병원),경기도,고양시 덕양구,종합병원,해당사항없음,"경기도 고양시 덕양구 중앙로 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)",14,14,0,0,0
국군고양병원,경기도,고양시 덕양구,병원,일반의,경기도 고양시 덕양구 혜음로 215 (벽제동),0,0,0,0,6
향동포레요양병원,경기도,고양시 덕양구,요양병원,해당사항없음,"경기도 고양시 덕양구 향동로 123, 지하1&1~5층 (향동동)",0,0,0,0,7
국민건강보험공단일산병원,경기도,고양시 일산동구,종합병원,해당사항없음,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",88,63,0,25,5
국립암센터,경기도,고양시 일산동구,종합병원,해당사항없음,경기도 고양시 일산동구 일산로 323 (마두동),28,28,0,0,2
동국대학교일산불교병원,경기도,고양시 일산동구,종합병원,해당사항없음,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",73,48,0,25,2
의료법인성광의료재단일산차병원,경기도,고양시 일산동구,종합병원,해당사항없음,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",29,5,0,24,3
일산현대요양병원,경기도,고양시 일산동구,요양병원,해당사항없음,"경기도 고양시 일산동구 무궁화로 346, 지하1~2층,1~3층 (풍동)",0,0,0,0,2
일산리더스요양병원,경기도,고양시 일산동구,요양병원,해당사항없음,"경기도 고양시 일산동구 위시티로 18, 5~8층 (식사동, 동국타워)",0,0,0,0,11
인제대학교일산백병원,경기도,고양시 일산서구,종합병원,해당사항없음,경기도 고양시 일산서구 주화로 170 (대화동),82,69,0,13,2
로하스일산병원,경기도,고양시 일산서구,병원,일반의,"경기도 고양시 일산서구 일중로 59 (일산동, 일산마샬빌딩 4,5,6,7,8층)",0,0,0,0,22
한양대학교구리병원,경기도,구리시,종합병원,해당사항없음,경기도 구리시 경춘로 153 (교문동),41,31,0,10,5
남양주 한양병원,경기도,남양주시,종합병원,해당사항없음,경기도 남양주시 오남읍 양지로 47-55,40,40,0,0,0
현대병원,경기도,남양주시,종합병원,해당사항없음,경기도 남양주시 진접읍 봉현로 21,39,39,0,0,0
원병원,경기도,남양주시,병원,일반의,경기도 남양주시 화도읍 경춘로 1943-16,10,10,0,0,0
엘병원,경기도,남양주시,병원,일반의,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",9,9,0,0,1
남양주백병원,경기도,남양주시,병원,일반의,"경기도 남양주시 진접읍 해밀예당1로 30-25, 2층~10층",6,6,0,0,0
별내요양병원,경기도,남양주시,요양병원,해당사항없음,"경기도 남양주시 별내2로 74, 5층,6층 (별내동, 별내동 JS타워)",0,0,0,0,1
오산한국병원,경기도,오산시,종합병원,해당사항없음,경기도 오산시 밀머리로1번길 16 (원동),35,35,0,0,2
조은오산병원,경기도,오산시,병원,일반의,경기도 오산시 오산로 307 (오산동),8,8,0,0,0
오산노인전문병원,경기도,오산시,요양병원,해당사항없음,경기도 오산시 가장산업동로 69-27 (궐동),0,0,0,0,1
스타트요양병원,경기도,오산시,요양병원,해당사항없음,"경기도 오산시 청학로 264, W-타워 3-8층 (수청동)",0,0,0,0,3
의료법인 록향의료재단 신천연합병원,경기도,시흥시,종합병원,해당사항없음,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",7,7,0,0,2
의료법인 석경의료재단 센트럴병원,경기도,시흥시,종합병원,해당사항없음,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",20,20,0,0,0
의료법인 남촌의료재단 시화병원,경기도,시흥시,종합병원,해당사항없음,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",36,36,0,0,12
아너스힐병원,경기도,시흥시,병원,일반의,"경기도 시흥시 능곡번영길 20, 센텀시티Ⅱ 3~6층, 7~8층 일부호 (능곡동)",0,0,0,0,231
의료법인 자운의료재단 강남요양병원,경기도,시흥시,요양병원,해당사항없음,"경기도 시흥시 수인로3325번길 10, 3층 301호, 302호, 306~309호 (신천동, 우명프라자)",0,0,0,0,42
의료법인 에스앤케이의료재단 소래푸른숲 요양병원,경기도,시흥시,요양병원,해당사항없음,"경기도 시흥시 호현로40번길 5, 지1층, 1~5층 (대야동)",0,0,0,0,8
베드로요양병원,경기도,시흥시,요양병원,해당사항없음,"경기도 시흥시 평안상가5길 19, 스마일요양병원 본관동 (정왕동)",0,0,0,0,7
시흥더봄요양병원,경기도,시흥시,요양병원,해당사항없음,"경기도 시흥시 비둘기공원1길 7, 1~8층 (대야동)",0,0,0,0,1
원광대학교 산본병원,경기도,군포시,종합병원,해당사항없음,경기도 군포시 산본로 321 (산본동),12,12,0,0,0
효산의료재단 지샘병원,경기도,군포시,종합병원,해당사항없음,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",19,19,0,0,5
군포성모병원,경기도,군포시,병원,일반의,"경기도 군포시 용호1로2번길 47-7, 군포성모병원빌딩 1층,2층 (당동)",0,0,0,0,36
강동스마일요양병원,경기도,하남시,요양병원,해당사항없음,"경기도 하남시 미사강변대로54번길 70, 산우빌딩 지3, 지1, 1층일부, 2~5층호 (풍산동)",0,0,0,0,1
(의)영문의료재단 다보스병원,경기도,용인시 처인구,종합병원,해당사항없음,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",26,26,0,0,0
메디필드한강병원,경기도,용인시 처인구,종합병원,해당사항없음,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),15,15,0,0,0
용인제일메디병원,경기도,용인시 처인구,병원,일반의,경기도 용인시 처인구 포곡읍 포곡로210번길 21-11,0,0,0,0,62
승일희망요양병원,경기도,용인시 처인구,요양병원,해당사항없음,경기도 용인시 처인구 모현읍 포은대로1139번길 14,0,0,0,0,1
연세대학교 의과대학 용인세브란스병원,경기도,용인시 기흥구,종합병원,해당사항없음,경기도 용인시 기흥구 동백죽전대로 363 (중동),49,37,0,12,4
강남병원,경기도,용인시 기흥구,종합병원,해당사항없음,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",32,32,0,0,0
용인연세병원,경기도,용인시 기흥구,병원,일반의,경기도 용인시 기흥구 어정로 85(상하동),0,0,0,0,8
하워드힐병원,경기도,용인시 기흥구,병원,일반의,경기도 용인시 기흥구 흥덕2로117번길 23 (영덕동),0,0,0,0,3
효자병원,경기도,용인시 기흥구,요양병원,해당사항없음,경기도 용인시 기흥구 중부대로874번길 1-30 (상하동),0,0,0,0,8
용인정신병원,경기도,용인시 기흥구,정신병원,해당사항없음,"경기도 용인시 기흥구 중부대로 940 (상하동, 용인정신병원)",0,0,0,0,1
(의)현당의료재단 늘봄요양병원,경기도,용인시 수지구,요양병원,해당사항없음,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",0,0,0,0,1
경기도의료원파주병원,경기도,파주시,종합병원,해당사항없음,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",8,8,0,0,31
메디인병원,경기도,파주시,종합병원,해당사항없음,경기도 파주시 금릉역로 190(금촌동),13,13,0,0,0
자유로요양병원,경기도,파주시,요양병원,해당사항없음,경기도 파주시 탄현면 새오리로 215-19,0,0,0,0,10
파주로하스요양병원,경기도,파주시,요양병원,해당사항없음,"경기도 파주시 숲속노을로 273, 바이오텍홀딩스 1~7층 (문발동)",0,0,0,0,2
연세요양병원,경기도,파주시,요양병원,해당사항없음,경기도 파주시 방촌로326번길 46 (맥금동),0,0,0,0,18
경기도의료원 이천병원,경기도,이천시,종합병원,해당사항없음,경기도 이천시 경충대로 2742 (관고동),10,10,0,0,6
경기도의료원 안성병원,경기도,안성시,종합병원,해당사항없음,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",15,15,0,0,8
안성성모병원,경기도,안성시,종합병원,해당사항없음,경기도 안성시 시장길 58 (서인동),20,20,0,0,0
의료법인우리의료재단김포우리병원,경기도,김포시,종합병원,해당사항없음,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",37,37,0,0,11
의료법인인봉의료재단뉴고려병원,경기도,김포시,종합병원,해당사항없음,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",34,34,0,0,4
아너스힐병원,경기도,김포시,병원,일반의,"경기도 김포시 통진읍 흥신로 320-10, 아너스힐병원",0,0,0,0,165
의료법인 은혜와감사의료재단 화성중앙종합병원,경기도,화성시 만세구,종합병원,해당사항없음,경기도 화성시 만세구 향남읍 발안로 5,8,8,0,0,0
화성유일병원,경기도,화성시 만세구,종합병원,해당사항없음,경기도 화성시 만세구 남양읍 남양로920번길 6,10,10,0,0,0
화성디에스병원,경기도,화성시 만세구,병원,일반의,"경기도 화성시 만세구 남양읍 시청로160번길 46-13, 1,3~8층",9,9,0,0,5
의료법인 신명진의료재단 퍼스트힐화성병원,경기도,화성시 만세구,병원,일반의,"경기도 화성시 만세구 남양읍 시청로 11, 1,2층 일부 및 3~5층호",0,0,0,0,4
화성해인요양병원,경기도,화성시 효행구,요양병원,해당사항없음,경기도 화성시 효행구 매송면 화성로 2407-15,0,0,0,0,1
의료법인 원광의료재단 원광종합병원,경기도,화성시 병점구,종합병원,해당사항없음,경기도 화성시 병점구 화산북로 21 (송산동),16,16,0,0,0
의료법인 아주효성의료재단 효성요양병원,경기도,화성시 병점구,요양병원,해당사항없음,"경기도 화성시 병점구 효행로 1063, 메디프렌드 (진안동)",0,0,0,0,27
한림대학교동탄성심병원,경기도,화성시 동탄구,종합병원,해당사항없음,경기도 화성시 동탄구 큰재봉길 7 (석우동),87,74,0,13,13
의료법인상운의료재단 동탄제일병원,경기도,화성시 동탄구,병원,일반의,경기도 화성시 동탄구 삼성1로 144-6 (석우동),6,0,0,6,0
참조은병원,경기도,광주시,종합병원,해당사항없음,경기도 광주시 광주대로 45 (경안동),25,25,0,0,2
성심요양병원,경기도,광주시,요양병원,해당사항없음,경기도 광주시 중앙로349번길 25(송정동),0,0,0,0,4
국군양주병원,경기도,양주시,병원,일반의,경기도 양주시 은현면 화합로 1133,0,0,0,0,6
송추효사랑요양병원,경기도,양주시,요양병원,해당사항없음,경기도 양주시 장흥면 호국로 439-22,0,0,0,0,18
경기웰니스요양병원,경기도,양주시,요양병원,해당사항없음,"경기도 양주시 평화로1479번길 45, 경기웰니스요양병원 (덕계동)",0,0,0,0,22
경기도의료원포천병원,경기도,포천시,종합병원,해당사항없음,경기도 포천시 포천로 1648 (신읍동),10,10,0,0,3
의료법인 일심의료재단 포천우리병원,경기도,포천시,종합병원,해당사항없음,경기도 포천시 소흘읍 호국로 661,20,20,0,0,12
국군포천병원,경기도,포천시,병원,일반의,경기도 포천시 화현면 화동로 564,0,0,0,0,10
한내가족처럼요양병원,경기도,포천시,요양병원,해당사항없음,경기도 포천시 신북면 청신로 2139,0,0,0,0,30
베스트요양병원,경기도,여주시,요양병원,해당사항없음,경기도 여주시 가남읍 경충대로961번길 2-15,0,0,0,0,1
여주세민병원,경기도,여주시,정신병원,해당사항없음,경기도 여주시 가남읍 경충대로 924,0,0,0,0,1
연천군보건의료원,경기도,연천군,보건의료원,해당사항없음,경기도 연천군 전곡읍 은대성로 95,0,0,0,0,5
노체리안드리자애병원,경기도,가평군,병원,일반의,경기도 가평군 조종면 꽃동네길 46 (노체리안드리자애병원),0,0,0,0,2
국립교통재활병원,경기도,양평군,병원,재활의학과,경기도 양평군 양평읍 중앙로 260,0,0,0,0,2
의료법인 인화재단 한국병원,충청북도,청주시 상당구,종합병원,해당사항없음,"충청북도 청주시 상당구 단재로 106-0 (영운동,한국병원)",25,25,0,0,11
의료법인 정산의료재단 효성병원,충청북도,청주시 상당구,종합병원,해당사항없음,"충청북도 청주시 상당구 쇠내로 16-0 (금천동,효성병원)",31,31,0,0,3
공군항공우주의료원,충청북도,청주시 상당구,병원,일반의,충청북도 청주시 상당구 남일면 단재로 635-0 ( ),0,0,0,0,4
의료법인 남궁의료재단 남궁요양병원,충청북도,청주시 상당구,요양병원,해당사항없음,"충청북도 청주시 상당구 상당로 47-0 (남문로2가, (남문로2가))",0,0,0,0,13
충북대학교병원,충청북도,청주시 서원구,상급종합병원,해당사항없음,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",103,78,0,25,48
충청북도 청주의료원,충청북도,청주시 서원구,종합병원,해당사항없음,"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",24,24,0,0,6
서원요양병원,충청북도,청주시 서원구,요양병원,해당사항없음,충청북도 청주시 서원구 남이면 남석로 316-26 (서원요양병원),0,0,0,0,63
청주시립요양병원,충청북도,청주시 서원구,요양병원,해당사항없음,충청북도 청주시 서원구 궁뜰로62번길 29-0 (장성동),0,0,0,0,5
의료법인 하람의료재단 청주탑요양병원,충청북도,청주시 서원구,요양병원,해당사항없음,"충청북도 청주시 서원구 궁뜰로 16-0 (미평동, (미평동))",0,0,0,0,25
의료법인한마음의료재단하나병원,충청북도,청주시 흥덕구,종합병원,해당사항없음,"충청북도 청주시 흥덕구 2순환로 1262-0 (가경동,하나병원)",26,26,0,0,0
재단법인베스티안재단베스티안병원,충청북도,청주시 흥덕구,종합병원,해당사항없음,충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0,10,10,0,0,0
의료법인 한미의료재단 김숙자소아청소년병원,충청북도,청주시 흥덕구,병원,일반의,"충청북도 청주시 흥덕구 직지대로 745-0 (운천동,김숙자소아.청소년병원)",5,0,0,5,0
의료법인원광의료재단청주원광효도요양병원,충청북도,청주시 흥덕구,요양병원,해당사항없음,"충청북도 청주시 흥덕구 월명로 15-0 (복대동,원광효도요양병원)",0,0,0,0,17
청주성모병원,충청북도,청주시 청원구,종합병원,해당사항없음,"충청북도 청주시 청원구 주성로 173-19 (주중동,청주성모병원)",28,28,0,0,30
충청북도 충주의료원,충청북도,충주시,종합병원,해당사항없음,"충청북도 충주시 안림로 239-50 (안림동,충청북도충주의료원)",12,12,0,0,16
건국대학교 충주병원,충청북도,충주시,종합병원,해당사항없음,"충청북도 충주시 국원대로 82-0 (교현동,건국대학교충주병원)",18,18,0,0,1
의료법인 자산의료재단 제천서울병원,충청북도,제천시,종합병원,해당사항없음,"충청북도 제천시 숭문로 57-0 (서부동,서울병원)",13,13,0,0,0
의료법인 명지의료재단 명지병원,충청북도,제천시,종합병원,해당사항없음,"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",20,20,0,0,0
의료법인 힐링의료재단 옥천성모병원,충청북도,옥천군,종합병원,해당사항없음,충청북도 옥천군 옥천읍 성왕로 1195-0 ( ),7,7,0,0,0
의료법인 건명의료재단 중앙제일병원,충청북도,진천군,종합병원,해당사항없음,충청북도 진천군 진천읍 중앙북로 36-0 (진천성모병원),18,18,0,0,31
의료법인 진천의료재단 진천효병원,충청북도,진천군,요양병원,해당사항없음,충청북도 진천군 이월면 반지길 54-0 (진천효병원),0,0,0,0,44
국립소방병원,충청북도,음성군,종합병원,해당사항없음,충청북도 음성군 맹동면 용두4길 19-0 (국립소방병원),19,19,0,0,0
의료법인 음성소망의료재단 음성소망병원,충청북도,음성군,정신병원,해당사항없음,충청북도 음성군 생극면 일생로 518-0,0,0,0,0,2
단양군보건의료원,충청북도,단양군,보건의료원,해당사항없음,"충청북도 단양군 단양읍 삼봉로 53, 단양군보건의료원",0,0,0,0,2
단국대학교의과대학부속병원,충청남도,천안시 동남구,상급종합병원,해당사항없음,"충청남도 천안시 동남구 망향로 201-0 (안서동,단국대학교의과대학부속병원)",92,67,0,25,15
충청남도 천안의료원,충청남도,천안시 동남구,종합병원,해당사항없음,충청남도 천안시 동남구 충절로 537 (삼룡동),15,15,0,0,6
순천향대학교부속 천안병원,충청남도,천안시 동남구,종합병원,해당사항없음,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 5동 (봉명동,순천향대학교병원))",127,77,0,50,14
의료법인 백석의료재단 한사랑요양병원,충청남도,천안시 동남구,요양병원,해당사항없음,"충청남도 천안시 동남구 대흥로 228 (대흥동, 삼영빌딩)",0,0,0,0,14
선한이웃요양병원,충청남도,천안시 동남구,요양병원,해당사항없음,충청남도 천안시 동남구 정골2길 91 (구성동),0,0,0,0,20
의료법인 영서의료재단 천안충무병원,충청남도,천안시 서북구,종합병원,해당사항없음,충청남도 천안시 서북구 다가말3길 8 (쌍용동),29,29,0,0,0
다나힐요양병원,충청남도,천안시 서북구,요양병원,해당사항없음,충청남도 천안시 서북구 직산읍 석양길 4,0,0,0,0,1
충청남도 공주의료원,충청남도,공주시,종합병원,해당사항없음,"충청남도 공주시 무령로 77 (웅진동, (웅진동))",16,16,0,0,7
주은라파스요양병원,충청남도,공주시,요양병원,해당사항없음,충청남도 공주시 탄천면 효자길 100,0,0,0,0,1
라온요양병원,충청남도,공주시,요양병원,해당사항없음,충청남도 공주시 우성면 통천포길 333,0,0,0,0,1
세종프라임요양병원,충청남도,공주시,요양병원,해당사항없음,충청남도 공주시 정안면 장원길 345-33,0,0,0,0,22
국립법무병원,충청남도,공주시,정신병원,해당사항없음,충청남도 공주시 반포면 반포초교길 253 (공주치료감호소),0,0,0,0,10
재단법인 아산사회복지재단 부속 보령아산병원,충청남도,보령시,종합병원,해당사항없음,충청남도 보령시 죽성로 136 (죽정동),8,8,0,0,6
의료법인 삼환의료재단 대천중앙병원,충청남도,보령시,병원,일반의,충청남도 보령시 지장골길 69(죽정동),0,0,0,0,9
아산충무병원,충청남도,아산시,종합병원,해당사항없음,충청남도 아산시 문화로 381 (모종동),24,24,0,0,20
현대병원,충청남도,아산시,병원,일반의,충청남도 아산시 온천대로 1442 (온천동),7,7,0,0,0
충청남도 서산의료원,충청남도,서산시,종합병원,해당사항없음,"충청남도 서산시 중앙로 149-  (석림동, (석림동))",10,10,0,0,5
서산중앙병원,충청남도,서산시,종합병원,해당사항없음,"충청남도 서산시 수석산업로 5 (수석동, (수석동))",17,17,0,0,0
의료법인 백제병원,충청남도,논산시,종합병원,해당사항없음,충청남도 논산시 시민로294번길 14 (취암동),29,29,0,0,2
논산하나요양병원,충청남도,논산시,요양병원,해당사항없음,충청남도 논산시 생뫼길 20 (강산동),0,0,0,0,6
의료법인예향의료재단예향요양병원,충청남도,논산시,요양병원,해당사항없음,충청남도 논산시 연산면 한전2길 49-26,0,0,0,0,4
당진종합병원,충청남도,당진시,종합병원,해당사항없음,충청남도 당진시 반촌로 5-15 (시곡동),13,13,0,0,0
당진성모병원,충청남도,당진시,병원,일반의,충청남도 당진시 당진중앙1로 43 (읍내동),0,0,0,0,2
서천한국요양병원,충청남도,서천군,요양병원,해당사항없음,충청남도 서천군 마서면 어리길 205-7,0,0,0,0,21
충청남도 홍성의료원,충청남도,홍성군,종합병원,해당사항없음,충청남도 홍성군 홍성읍 조양로 224,25,25,0,0,3
홍주요양병원,충청남도,홍성군,요양병원,해당사항없음,충청남도 홍성군 홍성읍 백월로 130,0,0,0,0,2
홍성한국병원,충청남도,홍성군,정신병원,해당사항없음,"충청남도 홍성군 홍성읍 대내길 97, 홍성한국병원",0,0,0,0,10
의료법인 예당의료재단 예산종합병원,충청남도,예산군,종합병원,해당사항없음,충청남도 예산군 예산읍 금오대로 94,9,9,0,0,0
예산명지병원,충청남도,예산군,병원,일반의,충청남도 예산군 예산읍 신례원로 26,6,6,0,0,0
목포시의료원,전라남도,목포시,종합병원,해당사항없음,"전라남도 목포시 이로로 18 (용해동, (용해동))",0,0,0,0,1
목포한국병원,전라남도,목포시,종합병원,해당사항없음,전라남도 목포시 영산로 483 (상동),68,68,0,0,3
