목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
성북구,장위2동,1084,0,0,0,0,1,11,0,0,4,12,4,16,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
성북구,장위3동,1251,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,정릉1동,1392,0,0,0,0,1,7,0,0,3,8,3,11,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
성북구,정릉2동,770,0,0,1,0,1,15,0,0,6,16,7,23,2,0.0,0.0,0.0,0.0,1,1,6.0,3.0
성북구,정릉3동,1139,0,0,0,0,1,2,0,0,1,3,1,4,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
성북구,정릉4동,1622,0,0,0,0,0,12,0,0,5,12,5,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,종암동,3740,1,0,0,0,1,26,0,0,11,28,11,39,2,1.0,0.0,1.0,1.0,0,2,10.0,5.0
송파구,가락1동,1248,0,0,0,0,0,18,0,0,7,18,7,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,가락2동,1596,0,0,0,0,0,39,0,0,12,39,12,51,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,가락본동,3119,8,0,0,0,2,28,0,1,16,39,16,55,11,1.0,16.0,3.0,19.0,0,11,160.0,14.545454545454545
송파구,거여1동,2403,0,0,1,0,1,7,0,0,3,8,4,12,2,0.0,0.0,0.0,0.0,1,1,4.0,2.0
송파구,거여2동,2057,0,0,0,0,0,36,1,0,7,36,8,44,1,0.0,0.0,0.0,0.0,1,0,4.0,4.0
송파구,마천1동,1130,0,0,0,0,0,8,0,0,4,8,4,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,마천2동,1776,0,0,0,0,2,16,0,0,11,18,11,29,2,0.0,0.0,0.0,0.0,0,2,10.0,5.0
송파구,문정1동,1025,0,0,0,0,0,12,0,0,3,12,3,15,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,문정2동,3870,2,0,0,0,0,67,0,0,19,69,19,88,2,0.0,0.0,0.0,0.0,0,2,17.0,8.5
송파구,방이1동,942,0,0,0,0,1,16,0,0,10,17,10,27,1,0.0,0.0,0.0,0.0,0,1,2.0,2.0
송파구,방이2동,1351,0,0,0,0,0,37,0,0,15,37,15,52,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,삼전동,934,3,0,0,0,0,23,0,0,9,26,9,35,3,0.0,0.0,0.0,0.0,0,3,10.0,3.3333333333333335
송파구,석촌동,3201,1,0,0,0,0,46,0,0,25,47,25,72,1,0.0,0.0,0.0,0.0,0,1,31.0,31.0
송파구,송파1동,1011,3,0,0,0,0,22,0,0,12,25,12,37,3,0.0,0.0,0.0,0.0,0,3,17.0,5.666666666666667
송파구,송파2동,757,0,0,0,0,0,18,0,0,7,18,7,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,오금동,5099,0,0,0,0,1,15,0,0,8,16,8,24,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
송파구,오륜동,1482,0,0,0,0,0,8,0,0,3,8,3,11,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,잠실2동,2059,0,0,0,0,0,32,0,0,12,32,12,44,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,잠실3동,1258,0,0,0,0,0,27,0,0,10,27,10,37,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,잠실4동,545,0,0,0,0,0,34,0,0,8,34,8,42,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,잠실6동,2722,1,1,0,0,0,60,0,0,15,61,16,77,2,0.0,0.0,0.0,0.0,1,1,13.0,6.5
송파구,잠실7동,861,0,0,0,0,0,2,0,0,1,2,1,3,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,잠실본동,1048,2,0,0,0,0,77,0,0,31,79,31,110,2,0.0,0.0,0.0,0.0,0,2,13.0,6.5
송파구,장지동,6256,0,0,0,0,0,15,0,0,8,15,8,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
송파구,풍납1동,587,1,0,0,0,0,5,0,0,5,6,5,11,1,0.0,0.0,0.0,0.0,0,1,1.0,1.0
송파구,풍납2동,5725,0,0,0,1,0,10,0,0,6,11,6,17,1,1.0,281.0,14.0,295.0,0,1,1506.0,1506.0
양천구,목1동,3861,1,0,0,0,0,66,0,0,27,67,27,94,1,0.0,0.0,0.0,0.0,0,1,18.0,18.0
양천구,목2동,1452,1,0,0,0,0,11,0,0,6,12,6,18,1,0.0,0.0,0.0,0.0,0,1,7.0,7.0
양천구,목3동,2339,0,0,0,0,0,30,0,0,13,30,13,43,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,목4동,2191,0,0,0,0,0,19,0,0,12,19,12,31,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,목5동,3186,0,0,0,1,0,22,0,0,10,23,10,33,1,1.0,90.0,9.0,99.0,0,1,424.0,424.0
양천구,신월1동,2126,0,0,0,0,0,9,0,0,5,9,5,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신월2동,1437,0,0,0,0,0,11,0,0,4,11,4,15,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신월3동,1544,0,0,0,0,1,7,0,0,2,8,2,10,1,0.0,0.0,0.0,0.0,0,1,7.0,7.0
양천구,신월4동,1161,0,0,0,0,0,11,0,0,2,11,2,13,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신월5동,916,1,0,0,0,0,3,0,0,3,4,3,7,1,0.0,0.0,0.0,0.0,0,1,15.0,15.0
양천구,신월6동,882,0,0,0,0,0,14,0,0,3,14,3,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신월7동,2296,0,0,0,0,0,10,0,0,5,10,5,15,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신정1동,1689,0,0,0,0,0,20,0,0,9,20,9,29,0,0.0,0.0,0.0,0.0,0,0,0.0,
양천구,신정2동,1694,0,0,0,0,0,18,0,0,9,18,9,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
