목적구,행정동,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
서초구,서초3동,33,3,0,1,0,1,57,0,0,34,61,35,96
서초구,서초4동,194,1,0,0,0,0,245,0,0,40,246,40,286
서초구,양재1동,103,1,0,0,0,1,47,0,0,15,49,15,64
서초구,양재2동,27,0,0,0,0,0,15,0,0,9,15,9,24
서초구,잠원동,18,0,0,0,0,0,123,0,0,10,123,10,133
성동구,금호1가동,44,0,0,0,0,0,11,0,0,3,11,3,14
성동구,금호2.3가동,16,0,0,0,0,0,14,0,0,8,14,8,22
성동구,금호4가동,8,0,0,0,0,0,25,0,0,3,25,3,28
성동구,마장동,540,0,0,0,0,0,8,0,0,5,8,5,13
성동구,사근동,939,0,0,0,1,0,2,0,0,1,3,1,4
성동구,성수1가1동,324,0,0,0,0,0,10,0,0,4,10,4,14
성동구,성수1가2동,10,0,0,0,0,0,26,0,0,6,26,6,32
성동구,성수2가1동,7,0,0,0,0,0,11,0,0,5,11,5,16
성동구,성수2가3동,37,1,0,0,0,1,29,0,0,7,31,7,38
성동구,송정동,55,1,0,0,0,0,3,0,0,0,4,0,4
성동구,옥수동,6,0,0,0,0,0,20,0,0,9,20,9,29
성동구,왕십리2동,18,0,0,0,0,0,9,0,0,5,9,5,14
성동구,왕십리도선동,925,1,1,0,0,0,37,0,1,21,39,22,61
성동구,용답동,20,0,0,0,0,2,10,0,0,5,12,5,17
성동구,행당1동,275,1,0,0,0,0,30,0,0,9,31,9,40
성동구,행당2동,1,0,0,0,0,0,12,0,0,5,12,5,17
성북구,길음1동,51,0,0,0,0,0,26,0,0,13,26,13,39
성북구,길음2동,356,3,0,0,0,1,9,0,0,9,13,9,22
성북구,돈암1동,50,0,0,0,0,0,6,0,0,1,6,1,7
성북구,돈암2동,2,0,0,0,0,0,5,0,0,3,5,3,8
성북구,동선동,158,1,0,0,0,0,37,0,0,10,38,10,48
