사용월,노선명,역명,역명정규화,station_key,운행엘리베이터보유여부,운행엘리베이터수,엘리베이터연결층,엘리베이터설치위치,운행휠체어리프트보유여부,운행휠체어리프트수,휠체어리프트운행구간,휠체어리프트설치위치,안전발판보유여부,안전발판수,휠체어접근가능화장실보유여부,장애인화장실설치위치,장애인화장실층
2025-12,6호선,합정,합정,6호선|합정,1,3,1 | 지하B1→지하B4 | 망원 방면4-2; 2 | 지하B3→지하B4 | 상수 방면5-1; 3 | 지하B1→지상1 | 6번 출입구,망원 방면4-2; 상수 방면5-1; 6번 출입구,1,1,1 | 지하B2→지하B3 | 대합실,대합실,1,1,0,대합실 1층 8번 출입구 앞,B1
2025-12,6호선,화랑대(서울여대입구),화랑대(서울여대입구),6호선|화랑대(서울여대입구),1,4,5 | 지하B1→지상1 | 3번 출입구; 1 | 지하B1→지하B2 | 태릉입구 방면5-4; 2 | 지하B1→지하B2 | 봉화산 방면4-1; 3 | 지하B1→지상1 | 1번 출입구; 4 | 지하B1→지상1 | 7번 출입구,3번 출입구; 태릉입구 방면5-4; 봉화산 방면4-1; 1번 출입구; 7번 출입구,0,0,없음,없음,1,1,1,지하 1층 대합실(개집표기 외부),B1
2025-12,6호선,효창공원앞,효창공원앞,6호선|효창공원앞,1,2,"1 | 지하B2→지하B3 | 공덕 방면5-3, 삼각지 방면4-2; 2 | 지하B1→지하B2 | 대합실","공덕 방면5-3, 삼각지 방면4-2; 대합실",0,0,없음,없음,0,0,1,"대합실 1층 3,6번 출입구 앞",B1
2025-12,7호선,가산디지털단지,가산디지털단지,7호선|가산디지털단지,1,4,1 | 지하B2→지하B4 | 남구로 방면5-4; 2 | 지하B2→지하B4 | 철산 방면4-1; 3 | 지하B1→지하B2 | 대합실; 4 | 지하B1→지상1 | 9번 출입구,남구로 방면5-4; 철산 방면4-1; 대합실; 9번 출입구,1,3,1 | 지하B1→지하BM1 | 4번 출입구; 3 | 지상2→지하B1 | 환승통로(1호선 독산 방면); 4 | 지상2→지하B1 | 환승통로(1호선 구로 방면),4번 출입구; 환승통로(1호선 독산 방면); 환승통로(1호선 구로 방면),1,1,0,대합실 1층 4번 출입구 방향,B1
2025-12,7호선,강남구청,강남구청,7호선|강남구청,1,2,1 | 지하B2→지하B3 | 청담 방면1-1; 2 | 지하B2→지하B3 | 학동 방면8-4,청담 방면1-1; 학동 방면8-4,0,0,없음,없음,1,1,1,B2층 대합실 (가)아이센터 맞은편,B2
2025-12,7호선,건대입구,건대입구,7호선|건대입구,1,2,1 | 지하B2→지하B3 | 어린이대공원 방면5-4; 2 | 지하B2→지하B3 | 자양방면 4-1,어린이대공원 방면5-4; 자양방면 4-1,1,1,3 | 지상2→지하B1 | 뚝섬유원지 방면1-1,뚝섬유원지 방면1-1,1,1,1,B2층 개집표기 옆,B2
2025-12,7호선,고속터미널,고속터미널,7호선|고속터미널,1,3,3 | 지하B2→지상1 | 4번 출입구; 1 | 지하B3→지하B2 | 반포 방면3-3; 2 | 지하B3→지하B2 | 내방 방면6-2,4번 출입구; 반포 방면3-3; 내방 방면6-2,1,4,"1 | 지하B1→지하B3 | 환승통로(3,9호선 방면); 2 | 지하B2→지하B3 | 대합실(3번 출입구 방면); 3 | M1→지하B1 | 3번 출입구; 4 | M1→지하B1 | 4,5,6번 출입구 방면 통로","환승통로(3,9호선 방면); 대합실(3번 출입구 방면); 3번 출입구; 4,5,6번 출입구 방면 통로",1,1,0,대합실 지하1층 3번 출입구 왼쪽,B1
2025-12,7호선,광명사거리,광명사거리,7호선|광명사거리,1,3,3 | 지하B3→지하B2 | 철산 방면1-1; 1 | 지하B2→지하B3 | 천왕 방면2-1; 2 | 지하B2→지상1 | 2번 출입구,철산 방면1-1; 천왕 방면2-1; 2번 출입구,0,0,없음,없음,0,0,1,"대합실 2층 연결통로 (가)아이센터,(나)아이센터 중간",B2
2025-12,7호선,군자(능동),군자(능동),7호선|군자(능동),1,1,외부1 | 지하B1→지상1 | 7번 출입구,7번 출입구,0,0,없음,없음,0,0,0,없음,없음
2025-12,7호선,내방,내방,7호선|내방,1,5,1 | 지하B2→지하B3 | 고속터미널(7) 방면 5-2; 2 | 지하B2→지하B3 | 이수(7) 방면 4-2; 3 | 지하B1→지하B2 | 고객안전실 측; 4 | 지하B1→지상1 | 3번 출입구; 5 | 지하B1→지상1 | 5번 출입구,고속터미널(7) 방면 5-2; 이수(7) 방면 4-2; 고객안전실 측; 3번 출입구; 5번 출입구,0,0,없음,없음,0,0,1,대합실 지하1층 5~8번 출입구방면,B1
